locus_tag	ftype	length_bp	gene	EC_number	COG	product
BINKAFHJ_00035	CDS	1083	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
BINKAFHJ_00036	CDS	1476	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
BINKAFHJ_00037	CDS	969	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
BINKAFHJ_00038	CDS	486	def_1	3.5.1.88		Peptide deformylase
BINKAFHJ_00039	CDS	2499	priA_1	3.6.4.-		primosomal protein N'
BINKAFHJ_00040	CDS	1224	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
BINKAFHJ_00041	CDS	216	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
BINKAFHJ_00042	CDS	642	gmk_1	2.7.4.8	COG0194	Guanylate kinase
BINKAFHJ_00043	CDS	261				hypothetical protein
BINKAFHJ_00044	CDS	882				hypothetical protein
BINKAFHJ_00045	CDS	1905	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
BINKAFHJ_00046	CDS	849	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
BINKAFHJ_00047	CDS	2787	yloB	3.6.3.8	COG0474	Calcium-transporting ATPase
BINKAFHJ_00048	CDS	1788	yloA		COG1293	putative protein YloA
BINKAFHJ_00049	CDS	3600	cheB_1	3.1.1.61		Chemotaxis response regulator protein-glutamate methylesterase
BINKAFHJ_00050	CDS	1341	tuaD_1	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
BINKAFHJ_00051	CDS	867	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
BINKAFHJ_00052	CDS	861	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
BINKAFHJ_00053	CDS	912	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
BINKAFHJ_00054	CDS	441				hypothetical protein
BINKAFHJ_00055	CDS	267				hypothetical protein
BINKAFHJ_00056	CDS	1035				hypothetical protein
BINKAFHJ_00057	CDS	447				hypothetical protein
BINKAFHJ_00058	CDS	2064				hypothetical protein
BINKAFHJ_00059	CDS	1698				hypothetical protein
BINKAFHJ_00060	CDS	753				hypothetical protein
BINKAFHJ_00061	CDS	438	hrp1			Hypoxic response protein 1
BINKAFHJ_00062	CDS	1188		3.5.1.47		N-acetyldiaminopimelate deacetylase
BINKAFHJ_00063	CDS	348				hypothetical protein
BINKAFHJ_00064	CDS	1158	ftsW_1	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
BINKAFHJ_00065	CDS	390				Alkaline shock protein 23
BINKAFHJ_00066	CDS	1053	chaA		COG0387	Ca(2+)/H(+) antiporter ChaA
BINKAFHJ_00067	CDS	291				hypothetical protein
BINKAFHJ_00068	CDS	249				hypothetical protein
BINKAFHJ_00069	CDS	1119		3.4.11.-	COG2309	Aminopeptidase T
BINKAFHJ_00070	CDS	606				hypothetical protein
BINKAFHJ_00071	CDS	600	rpsD		COG0522	30S ribosomal protein S4
BINKAFHJ_00072	CDS	1257	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
BINKAFHJ_00073	misc_RNA	266				T-box
BINKAFHJ_00074	CDS	3126	mtgA_1	2.4.2.-		Monofunctional biosynthetic peptidoglycan transglycosylase
BINKAFHJ_00075	CDS	699				hypothetical protein
BINKAFHJ_00076	CDS	1725	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
BINKAFHJ_00077	CDS	633	acuA	2.3.1.-		Acetoin utilization protein AcuA
BINKAFHJ_00078	CDS	1179	acuC			Acetoin utilization protein AcuC
BINKAFHJ_00079	CDS	231				hypothetical protein
BINKAFHJ_00080	CDS	1470				hypothetical protein
BINKAFHJ_00081	CDS	1386	glyQS	6.1.1.14		Glycine--tRNA ligase
BINKAFHJ_00082	CDS	708	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
BINKAFHJ_00083	CDS	969	ccpA_1		COG1609	Catabolite control protein A
BINKAFHJ_00084	CDS	417				hypothetical protein
BINKAFHJ_00085	CDS	405				hypothetical protein
BINKAFHJ_00086	CDS	534	yhbO_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
BINKAFHJ_00087	CDS	1791	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
BINKAFHJ_00088	CDS	1899	ptsG	2.7.1.199		PTS system glucose-specific EIICBA component
BINKAFHJ_00089	CDS	792				hypothetical protein
BINKAFHJ_00090	CDS	693	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
BINKAFHJ_00091	CDS	429	yccU		COG1832	putative protein YccU
BINKAFHJ_00092	CDS	852				hypothetical protein
BINKAFHJ_00093	CDS	1296	aroA_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
BINKAFHJ_00094	CDS	372	crcB_1			Putative fluoride ion transporter CrcB
BINKAFHJ_00095	CDS	387	crcB_2		COG0239	Putative fluoride ion transporter CrcB
BINKAFHJ_00096	CDS	294		2.8.1.-	COG0607	Sulfurtransferase
BINKAFHJ_00097	CDS	333				hypothetical protein
BINKAFHJ_00098	CDS	1413	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
BINKAFHJ_00099	CDS	771	uxuB	1.-.-.-	COG1028	putative oxidoreductase UxuB
BINKAFHJ_00100	CDS	1545	xylB_1	2.7.1.17	COG1070	Xylulose kinase
BINKAFHJ_00101	CDS	1269				hypothetical protein
BINKAFHJ_00102	CDS	1011	exuR_1		COG1609	putative HTH-type transcriptional repressor ExuR
BINKAFHJ_00103	CDS	597				hypothetical protein
BINKAFHJ_00104	CDS	993				hypothetical protein
BINKAFHJ_00105	CDS	843	cmpD_1	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
BINKAFHJ_00106	CDS	594	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
BINKAFHJ_00107	CDS	1047				hypothetical protein
BINKAFHJ_00108	CDS	639				hypothetical protein
BINKAFHJ_00109	CDS	735				hypothetical protein
BINKAFHJ_00110	CDS	138				hypothetical protein
BINKAFHJ_00111	CDS	366				hypothetical protein
BINKAFHJ_00112	CDS	420				hypothetical protein
BINKAFHJ_00113	CDS	1629				hypothetical protein
BINKAFHJ_00114	CDS	1521				hypothetical protein
BINKAFHJ_00115	CDS	1794				hypothetical protein
BINKAFHJ_00116	CDS	792	spo0M_1		COG4326	Sporulation-control protein spo0M
BINKAFHJ_00117	CDS	1575				hypothetical protein
BINKAFHJ_00118	CDS	1179	tetA			Tetracycline resistance protein, class C
BINKAFHJ_00119	CDS	1476	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
BINKAFHJ_00120	CDS	843		3.1.3.-	COG0561	Putative phosphatase
BINKAFHJ_00121	CDS	420				hypothetical protein
BINKAFHJ_00122	CDS	288				hypothetical protein
BINKAFHJ_00123	CDS	615				hypothetical protein
BINKAFHJ_00124	CDS	738	rbn_1	3.1.26.11		Ribonuclease BN
BINKAFHJ_00125	CDS	234				hypothetical protein
BINKAFHJ_00126	CDS	1635	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BINKAFHJ_00127	CDS	516				hypothetical protein
BINKAFHJ_00128	CDS	294	yfhH			putative protein YfhH
BINKAFHJ_00129	CDS	228				hypothetical protein
BINKAFHJ_00130	CDS	432				hypothetical protein
BINKAFHJ_00131	CDS	939				hypothetical protein
BINKAFHJ_00132	tRNA	75				tRNA-Val(gac)
BINKAFHJ_00133	CDS	372	panS_1		COG0385	Pantothenate precursors transporter PanS
BINKAFHJ_00134	CDS	453	panS_2		COG0385	Pantothenate precursors transporter PanS
BINKAFHJ_00135	CDS	189				hypothetical protein
BINKAFHJ_00136	CDS	648				hypothetical protein
BINKAFHJ_00137	CDS	492				hypothetical protein
BINKAFHJ_00138	CDS	252				hypothetical protein
BINKAFHJ_00139	CDS	1086				hypothetical protein
BINKAFHJ_00140	CDS	861				hypothetical protein
BINKAFHJ_00141	CDS	531				hypothetical protein
BINKAFHJ_00142	CDS	237				hypothetical protein
BINKAFHJ_00143	CDS	1437				hypothetical protein
BINKAFHJ_00144	CDS	165				hypothetical protein
BINKAFHJ_00145	CDS	222				hypothetical protein
BINKAFHJ_00146	CDS	165				hypothetical protein
BINKAFHJ_00147	CDS	264				hypothetical protein
BINKAFHJ_00148	CDS	198				hypothetical protein
BINKAFHJ_00149	CDS	390				hypothetical protein
BINKAFHJ_00150	CDS	390	gerPE			putative spore germination protein GerPE
BINKAFHJ_00151	CDS	192	gerPD			putative spore germination protein GerPD
BINKAFHJ_00152	CDS	636	gerPC			putative spore germination protein GerPC
BINKAFHJ_00153	CDS	228	gerPB			putative spore germination protein GerPB
BINKAFHJ_00154	CDS	222	gerPA			putative spore germination protein GerPA
BINKAFHJ_00155	CDS	486				hypothetical protein
BINKAFHJ_00156	CDS	219				hypothetical protein
BINKAFHJ_00157	tRNA	86				tRNA-Leu(taa)
BINKAFHJ_00158	CDS	234	sspC			Small, acid-soluble spore protein C
BINKAFHJ_00159	CDS	237				hypothetical protein
BINKAFHJ_00160	CDS	444				hypothetical protein
BINKAFHJ_00161	CDS	636				hypothetical protein
BINKAFHJ_00162	CDS	159				hypothetical protein
BINKAFHJ_00163	misc_RNA	88				c-di-GMP-I
BINKAFHJ_00164	CDS	1221	ydhP_1		COG2814	Inner membrane transport protein YdhP
BINKAFHJ_00165	tRNA	74				tRNA-Met(cat)
BINKAFHJ_00166	tRNA	77				tRNA-Met(cat)
BINKAFHJ_00167	CDS	573	ypjQ_1		COG1267	putative protein YpjQ
BINKAFHJ_00168	CDS	1008				hypothetical protein
BINKAFHJ_00169	CDS	1704				hypothetical protein
BINKAFHJ_00170	CDS	1257	mdtA_1			Multidrug resistance protein MdtA
BINKAFHJ_00171	CDS	3099	swrC_1		COG0841	Swarming motility protein SwrC
BINKAFHJ_00172	CDS	522				hypothetical protein
BINKAFHJ_00173	CDS	2220				hypothetical protein
BINKAFHJ_00174	CDS	1476				hypothetical protein
BINKAFHJ_00175	CDS	930	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
BINKAFHJ_00176	CDS	2913				hypothetical protein
BINKAFHJ_00177	CDS	1101	macA		COG0845	Macrolide export protein MacA
BINKAFHJ_00178	CDS	846	btuD_2	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
BINKAFHJ_00179	CDS	678	dnaD		COG3935	DNA replication protein DnaD
BINKAFHJ_00180	CDS	1299	asnS	6.1.1.22		Asparagine--tRNA ligase
BINKAFHJ_00181	CDS	1215	ackA	2.7.2.1	COG0282	Acetate kinase
BINKAFHJ_00182	CDS	873	hbd_1	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
BINKAFHJ_00183	CDS	606	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
BINKAFHJ_00184	CDS	1419	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
BINKAFHJ_00185	CDS	972	oxyR			Hydrogen peroxide-inducible genes activator
BINKAFHJ_00186	CDS	804	yafV_1	3.5.1.3		Omega-amidase YafV
BINKAFHJ_00187	CDS	1203	bacF	2.6.1.-	COG0436	Transaminase BacF
BINKAFHJ_00188	CDS	1086				hypothetical protein
BINKAFHJ_00189	misc_RNA	214				T-box
BINKAFHJ_00190	CDS	1134	proB	2.7.2.11	COG0263	Glutamate 5-kinase 1
BINKAFHJ_00191	CDS	1272	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
BINKAFHJ_00192	CDS	870	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
BINKAFHJ_00193	CDS	1281	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
BINKAFHJ_00194	CDS	663	mtnX	3.1.3.87	COG4359	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
BINKAFHJ_00195	CDS	645	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
BINKAFHJ_00196	CDS	657	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
BINKAFHJ_00197	CDS	741	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
BINKAFHJ_00198	CDS	3216	carB	6.3.5.5		Carbamoyl-phosphate synthase large chain
BINKAFHJ_00199	CDS	1182	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
BINKAFHJ_00200	CDS	1284	pyrC	3.5.2.3	COG0044	Dihydroorotase
BINKAFHJ_00201	CDS	909	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
BINKAFHJ_00202	CDS	582	pyrR			Bifunctional protein PyrR
BINKAFHJ_00203	CDS	714	dapH_1	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
BINKAFHJ_00204	CDS	1149		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
BINKAFHJ_00205	CDS	1173	patA_1	2.6.1.-	COG0436	Putative N-acetyl-LL-diaminopimelate aminotransferase
BINKAFHJ_00206	CDS	957	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
BINKAFHJ_00207	CDS	531	lspA_1	3.4.23.36	COG0597	Lipoprotein signal peptidase
BINKAFHJ_00208	CDS	762	dksA			RNA polymerase-binding transcription factor DksA
BINKAFHJ_00209	CDS	2778	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
BINKAFHJ_00210	misc_RNA	267				T-box
BINKAFHJ_00211	CDS	480	divIVA		COG3599	Septum site-determining protein DivIVA
BINKAFHJ_00212	CDS	687				hypothetical protein
BINKAFHJ_00213	CDS	270				hypothetical protein
BINKAFHJ_00214	CDS	429	sepF		COG1799	Cell division protein SepF
BINKAFHJ_00215	CDS	645			COG0325	Pyridoxal phosphate homeostasis protein
BINKAFHJ_00216	CDS	861		1.10.3.-	COG1496	Polyphenol oxidase
BINKAFHJ_00217	CDS	408				hypothetical protein
BINKAFHJ_00218	CDS	783	sigG		COG1191	RNA polymerase sigma-G factor
BINKAFHJ_00219	CDS	723	sigE		COG1191	RNA polymerase sigma-E factor
BINKAFHJ_00220	CDS	909	spoIIGA	3.4.23.-		Sporulation sigma-E factor-processing peptidase
BINKAFHJ_00221	CDS	1143	ftsZ		COG0206	Cell division protein FtsZ
BINKAFHJ_00222	CDS	1245	ftsA		COG0849	Cell division protein FtsA
BINKAFHJ_00223	CDS	792	divIB		COG1589	Cell division protein DivIB
BINKAFHJ_00224	CDS	1269	murAA_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
BINKAFHJ_00225	CDS	906	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
BINKAFHJ_00226	CDS	1074	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
BINKAFHJ_00227	CDS	1098	ftsW_2	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
BINKAFHJ_00228	CDS	1425	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
BINKAFHJ_00229	CDS	963	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
BINKAFHJ_00230	CDS	1407	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
BINKAFHJ_00231	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
BINKAFHJ_00232	CDS	1950	spoVD		COG0768	Stage V sporulation protein D
BINKAFHJ_00233	CDS	2262	pbpB		COG0768	Penicillin-binding protein 2B
BINKAFHJ_00234	CDS	459	ftsL			Cell division protein FtsL
BINKAFHJ_00235	CDS	957	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
BINKAFHJ_00236	CDS	441	mraZ			Transcriptional regulator MraZ
BINKAFHJ_00237	CDS	1044				hypothetical protein
BINKAFHJ_00238	CDS	231				hypothetical protein
BINKAFHJ_00239	CDS	1269	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
BINKAFHJ_00240	CDS	1635	bshC	6.-.-.-	COG4365	Putative cysteine ligase BshC
BINKAFHJ_00241	CDS	960	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
BINKAFHJ_00242	CDS	1026	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
BINKAFHJ_00243	CDS	918	oppC		COG1173	Oligopeptide transport system permease protein OppC
BINKAFHJ_00244	CDS	936	dppB_1		COG0601	Dipeptide transport system permease protein DppB
BINKAFHJ_00245	CDS	189				hypothetical protein
BINKAFHJ_00246	CDS	1668	dppE		COG4166	Dipeptide-binding protein DppE
BINKAFHJ_00247	CDS	276				hypothetical protein
BINKAFHJ_00248	CDS	396				hypothetical protein
BINKAFHJ_00249	CDS	960	panE_1	1.1.1.169	COG1893	putative 2-dehydropantoate 2-reductase
BINKAFHJ_00250	CDS	645	rsfA			Prespore-specific transcriptional regulator RsfA
BINKAFHJ_00251	CDS	231				hypothetical protein
BINKAFHJ_00252	CDS	1116				hypothetical protein
BINKAFHJ_00253	CDS	936				hypothetical protein
BINKAFHJ_00254	CDS	1119				hypothetical protein
BINKAFHJ_00255	CDS	573				hypothetical protein
BINKAFHJ_00256	CDS	1335				hypothetical protein
BINKAFHJ_00257	CDS	558				hypothetical protein
BINKAFHJ_00258	CDS	453				hypothetical protein
BINKAFHJ_00259	CDS	273				hypothetical protein
BINKAFHJ_00260	CDS	471				hypothetical protein
BINKAFHJ_00261	CDS	294				hypothetical protein
BINKAFHJ_00262	CDS	1848	typA		COG1217	GTP-binding protein TypA/BipA
BINKAFHJ_00263	CDS	666				hypothetical protein
BINKAFHJ_00264	CDS	1212	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
BINKAFHJ_00265	CDS	1173	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
BINKAFHJ_00266	CDS	723	mltF_1			Membrane-bound lytic murein transglycosylase F
BINKAFHJ_00267	CDS	108				hypothetical protein
BINKAFHJ_00268	CDS	435				hypothetical protein
BINKAFHJ_00269	CDS	216				hypothetical protein
BINKAFHJ_00270	CDS	1146				hypothetical protein
BINKAFHJ_00271	CDS	501				hypothetical protein
BINKAFHJ_00272	CDS	1860				hypothetical protein
BINKAFHJ_00273	misc_RNA	413				RNaseP_bact_a
BINKAFHJ_00274	misc_RNA	411				RNaseP_arch
BINKAFHJ_00275	misc_RNA	398				RNaseP_bact_b
BINKAFHJ_00276	CDS	1116			COG0327	GTP cyclohydrolase 1 type 2 
BINKAFHJ_00277	CDS	732	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
BINKAFHJ_00278	CDS	840				hypothetical protein
BINKAFHJ_00279	CDS	1119	sigA_1		COG0568	RNA polymerase sigma factor SigA
BINKAFHJ_00280	CDS	1836	dnaG_1	2.7.7.-	COG0358	DNA primase
BINKAFHJ_00281	CDS	462				hypothetical protein
BINKAFHJ_00282	CDS	813	yqfL_1	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
BINKAFHJ_00283	CDS	747	recO		COG1381	DNA repair protein RecO
BINKAFHJ_00284	CDS	144				hypothetical protein
BINKAFHJ_00285	CDS	924	era		COG1159	GTPase Era
BINKAFHJ_00286	CDS	417	cdd	3.5.4.5	COG0295	Cytidine deaminase
BINKAFHJ_00287	CDS	705				hypothetical protein
BINKAFHJ_00288	CDS	576	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
BINKAFHJ_00289	CDS	2298	pgpH	3.1.4.-		Cyclic-di-AMP phosphodiesterase PgpH
BINKAFHJ_00290	CDS	963			COG1702	PhoH-like protein
BINKAFHJ_00291	CDS	1191				hypothetical protein
BINKAFHJ_00292	CDS	279				hypothetical protein
BINKAFHJ_00293	CDS	513				hypothetical protein
BINKAFHJ_00294	CDS	996				hypothetical protein
BINKAFHJ_00295	CDS	1398				hypothetical protein
BINKAFHJ_00296	CDS	444	yqeY		COG1610	putative protein YqeY
BINKAFHJ_00297	CDS	345		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
BINKAFHJ_00298	CDS	210				hypothetical protein
BINKAFHJ_00299	CDS	1920				hypothetical protein
BINKAFHJ_00300	CDS	2193				hypothetical protein
BINKAFHJ_00301	CDS	1983				hypothetical protein
BINKAFHJ_00302	CDS	483				hypothetical protein
BINKAFHJ_00303	CDS	789				hypothetical protein
BINKAFHJ_00304	CDS	867				hypothetical protein
BINKAFHJ_00305	CDS	1071	btuD_3	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
BINKAFHJ_00306	CDS	423				hypothetical protein
BINKAFHJ_00307	CDS	804				hypothetical protein
BINKAFHJ_00308	CDS	1104	pyrD_1	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
BINKAFHJ_00309	CDS	144				hypothetical protein
BINKAFHJ_00310	CDS	579				hypothetical protein
BINKAFHJ_00311	CDS	795				IS3 family transposase ISEnfa5
BINKAFHJ_00312	CDS	801				hypothetical protein
BINKAFHJ_00313	CDS	336				hypothetical protein
BINKAFHJ_00314	CDS	1047	ssuA_1			Putative aliphatic sulfonates-binding protein
BINKAFHJ_00315	CDS	342	psaC	1.97.1.12		Photosystem I iron-sulfur center
BINKAFHJ_00316	CDS	1638		1.18.1.2		Ferredoxin--NADP reductase
BINKAFHJ_00317	CDS	771	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
BINKAFHJ_00318	CDS	777	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
BINKAFHJ_00319	CDS	504				hypothetical protein
BINKAFHJ_00320	CDS	1269	dinB_1	2.7.7.7		DNA polymerase IV
BINKAFHJ_00321	CDS	372				hypothetical protein
BINKAFHJ_00322	CDS	1434				hypothetical protein
BINKAFHJ_00323	CDS	738				hypothetical protein
BINKAFHJ_00324	CDS	1593				hypothetical protein
BINKAFHJ_00325	CDS	678				hypothetical protein
BINKAFHJ_00326	CDS	1446				hypothetical protein
BINKAFHJ_00327	CDS	1839				hypothetical protein
BINKAFHJ_00328	CDS	234				Ferredoxin
BINKAFHJ_00329	CDS	1323	dinB_2	2.7.7.7	COG0389	DNA polymerase IV
BINKAFHJ_00330	CDS	1620	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
BINKAFHJ_00331	CDS	555	resA_1			Thiol-disulfide oxidoreductase ResA
BINKAFHJ_00332	CDS	1344	ymfD_1			Bacillibactin exporter
BINKAFHJ_00333	CDS	483				hypothetical protein
BINKAFHJ_00334	CDS	708	polC_1	2.7.7.7		DNA polymerase III PolC-type
BINKAFHJ_00335	CDS	1101				hypothetical protein
BINKAFHJ_00336	CDS	1395	nrgA_1			Ammonium transporter
BINKAFHJ_00337	CDS	450				hypothetical protein
BINKAFHJ_00338	CDS	681				hypothetical protein
BINKAFHJ_00339	CDS	894	gltC_1			HTH-type transcriptional regulator GltC
BINKAFHJ_00340	CDS	504	tpx	1.11.1.15	COG2077	Thiol peroxidase
BINKAFHJ_00341	CDS	390				hypothetical protein
BINKAFHJ_00342	CDS	837	tal	2.2.1.2		transaldolase
BINKAFHJ_00343	misc_RNA	182				6S
BINKAFHJ_00344	CDS	822				hypothetical protein
BINKAFHJ_00345	CDS	1599	cshA_1	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshA
BINKAFHJ_00346	CDS	549				hypothetical protein
BINKAFHJ_00347	CDS	720				hypothetical protein
BINKAFHJ_00348	CDS	834				hypothetical protein
BINKAFHJ_00349	CDS	195				hypothetical protein
BINKAFHJ_00350	CDS	234	tatA_1			Sec-independent protein translocase protein TatA
BINKAFHJ_00351	CDS	1167				hypothetical protein
BINKAFHJ_00352	CDS	1188				hypothetical protein
BINKAFHJ_00353	CDS	702	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
BINKAFHJ_00354	CDS	207				hypothetical protein
BINKAFHJ_00355	CDS	459	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
BINKAFHJ_00356	CDS	966	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
BINKAFHJ_00357	CDS	1077	ytpB	4.2.3.130		Tetraprenyl-beta-curcumene synthase
BINKAFHJ_00358	CDS	606				hypothetical protein
BINKAFHJ_00359	CDS	318				hypothetical protein
BINKAFHJ_00360	CDS	1374				hypothetical protein
BINKAFHJ_00361	CDS	1188				hypothetical protein
BINKAFHJ_00362	CDS	693	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
BINKAFHJ_00363	CDS	1374	ytrF		COG0577	ABC transporter permease YtrF
BINKAFHJ_00364	CDS	1083	yknX		COG0845	Putative efflux system component YknX
BINKAFHJ_00365	CDS	669	nbzA	1.7.1.16		Nitrobenzene nitroreductase
BINKAFHJ_00366	CDS	237			COG0217	putative transcriptional regulatory protein
BINKAFHJ_00367	misc_RNA	325				cspA
BINKAFHJ_00368	CDS	198	cspB_1			Cold shock protein CspB
BINKAFHJ_00369	CDS	711				hypothetical protein
BINKAFHJ_00370	CDS	234				hypothetical protein
BINKAFHJ_00371	CDS	798				hypothetical protein
BINKAFHJ_00372	CDS	183				hypothetical protein
